frame,cell_count,timestamp,density,density_per_1000px,growth_rate,per_capita_growth_rate,avg_speed,avg_direction
20,33,0.9449317455291748,3.580729166666667e-05,0.035807291666666664,12.394991533362688,0.37560580404129357,13.2093840802,-2.480708292148315
21,33,0.9826838970184326,3.580729166666667e-05,0.035807291666666664,13.114289912984207,0.39740272463588505,12.79577219750122,-9.77655247670522
22,34,1.022789716720581,3.689236111111111e-05,0.03689236111111111,12.843900048995591,0.37776176614692913,12.645383728933677,10.72928521571692
23,35,1.0672659873962402,3.7977430555555556e-05,0.03797743055555556,23.645667671093097,0.6755905048883742,13.0621654904958,17.780671005053055
24,35,1.111764907836914,3.7977430555555556e-05,0.03797743055555556,11.239087968830807,0.3211167991094516,13.969529479538469,-5.575224497407987
25,35,1.150177001953125,3.7977430555555556e-05,0.03797743055555556,0.0,0.0,14.331182974018256,-13.921124236212108
26,35,1.1896252632141113,3.7977430555555556e-05,0.03797743055555556,0.0,0.0,13.964315182974373,-13.810367931529916
27,35,1.2297289371490479,3.7977430555555556e-05,0.03797743055555556,0.0,0.0,14.260156361983519,-4.496586323826629
28,36,1.2731914520263672,3.90625e-05,0.0390625,11.966562245008587,0.3324045068057941,11.318714338542996,-8.310232199755474
29,40,1.3143150806427002,4.340277777777778e-05,0.043402777777777776,59.11133660296522,1.4777834150741305,13.150991653601443,18.729850218845705
30,40,1.3521595001220703,4.340277777777778e-05,0.043402777777777776,50.65339838655137,1.2663349596637843,13.446759476252723,-7.155995089264057
31,40,1.3940391540527344,4.340277777777778e-05,0.043402777777777776,0.0,0.0,13.4037283518241,11.352228784063245
32,40,1.4358432292938232,4.340277777777778e-05,0.043402777777777776,0.0,0.0,13.523664896885048,3.752590526951077
33,40,1.4734880924224854,4.340277777777778e-05,0.043402777777777776,0.0,0.0,12.092617449217412,-15.727323446490228
34,41,1.5124452114105225,4.4487847222222224e-05,0.044487847222222224,13.054492486585412,0.3184022557703759,12.304226129591775,6.683789343146744
35,40,1.5516424179077148,4.340277777777778e-05,0.043402777777777776,0.0,0.0,12.911945435458573,-7.043398139213198
36,40,1.5909597873687744,4.340277777777778e-05,0.043402777777777776,-12.736488579289068,-0.3184122144822267,13.333771459164769,9.046906502619583
37,40,1.631359577178955,4.340277777777778e-05,0.043402777777777776,0.0,0.0,15.30823773505368,3.4588584779629485
38,40,1.6740779876708984,4.340277777777778e-05,0.043402777777777776,0.0,0.0,13.477338087687803,1.2271375847822157
39,40,1.7140491008758545,4.340277777777778e-05,0.043402777777777776,0.0,0.0,12.299088971848011,3.450336335841288
40,40,1.7519557476043701,4.340277777777778e-05,0.043402777777777776,0.0,0.0,11.572396519654571,9.606626008493988
41,39,1.7932932376861572,4.2317708333333335e-05,0.042317708333333336,-12.619230144355456,-0.3235700037014219,10.674288756040914,-0.5959675502364351
42,40,1.8329384326934814,4.340277777777778e-05,0.043402777777777776,0.0,0.0,12.348915359498458,2.0791215117828474
43,40,1.8823797702789307,4.340277777777778e-05,0.043402777777777776,11.225041214379,0.28062603035947503,10.649678728987931,1.8358965479639693
44,40,1.9248764514923096,4.340277777777778e-05,0.043402777777777776,0.0,0.0,10.208015032207859,-3.097082703449
45,40,1.9646763801574707,4.340277777777778e-05,0.043402777777777776,0.0,0.0,13.173023133852073,-8.435194601581978
46,40,2.0049993991851807,4.340277777777778e-05,0.043402777777777776,0.0,0.0,12.084688332497317,21.86708507766201
47,40,2.0463907718658447,4.340277777777778e-05,0.043402777777777776,0.0,0.0,10.769210473228723,-8.443875034697495
48,41,2.0844924449920654,4.4487847222222224e-05,0.044487847222222224,12.579716751945005,0.3068223598035367,11.984304529691443,10.37571283841929
49,42,2.1316630840301514,4.557291666666667e-05,0.04557291666666667,23.454271958127595,0.5584350466220857,14.728078072840324,5.123850862007235
